year,taxon_name,total_kg_traded
1975,"chelonia mydas",250
1976,"chelonia mydas",59724
1977,"chelonia mydas",56714
1978,"loxodonta africana",560858.645
1979,"loxodonta africana",819678.58
1980,"physeter macrocephalus",2360407
1981,"loxodonta africana",1128408.3231045
1982,"loxodonta africana",1329680.2675395
1983,"loxodonta africana",2004226.0364259998
1984,"loxodonta africana",1595529.759
1985,"hoplobatrachus tigerinus",2381642.6210000003
1986,"hoplobatrachus tigerinus",5983021.989
1987,"hoplobatrachus tigerinus",5447468
1988,"hoplobatrachus tigerinus",5724338.8610000005
1989,"hoplobatrachus tigerinus",5926641.902
1990,"panax quinquefolius",1224225.5929999999
1991,"scleractinia spp.",2277242.6
1992,"panax quinquefolius",1283614.2550000004
1993,"scleractinia spp.",55462424
1994,"saussurea costus",3783238
1995,"strombus gigas",3672568.451
1996,"strombus gigas",4564052.738
1997,"strombus gigas",4509021.829000001
1998,"strombus gigas",4023038.2474300014
1999,"strombus gigas",4316550.542400001
2000,"panax quinquefolius",6283721.234660004
2001,"panax quinquefolius",6275020.409610001
2002,"panax quinquefolius",6658306.533300988
2003,"panax quinquefolius",5064069.791121197
2004,"scleractinia spp.",5430489.036100001
2005,"dendrobium spp.",8154309.024
2006,"dendrobium spp.",7111305.932
2007,"panax quinquefolius",5440594.480570006
2008,"panax quinquefolius",6344796.38192
2009,"euphorbia antisyphilitica",23352707.798498034
2010,"anguilla anguilla",18229665.4
2011,"bulnesia sarmientoi",29623004.644100003
2012,"bulnesia sarmientoi",25426897.569
2013,"bulnesia sarmientoi",15582610.155000001
2014,"anguilla anguilla",14156763.680000003
2015,"dendrobium hybrid",11607503.14
2016,"anguilla anguilla",9454814.059999999
2017,"pterocarpus santalinus",17724373.001
2018,"dendrobium hybrid",11937128.8
2019,"dendrobium hybrid",9071225.012281999
2020,"dendrobium hybrid",12171613.005572
2021,"aquilaria crassna",608014.933
2022,"acipenser baerii",200
