year,taxon_name,appendix,tot_traded
1977,"erythrocebus patas",II,4
1977,"pan troglodytes",I,4
1978,"alligator mississippiensis",I,273
1979,"chlorocebus aethiops",II,88
1980,"chlorocebus aethiops",II,60
1981,"macaca fascicularis",II,895
1982,"macaca fascicularis",II,723
1983,"macaca fascicularis",II,4038
1984,"macaca fascicularis",II,7184
1985,"macaca fascicularis",II,13653
1986,"macaca fascicularis",II,652
1987,"chlorocebus aethiops",II,662
1988,"macaca fascicularis",II,750
1989,"hirudo medicinalis",II,15080
1990,"hirudo medicinalis",II,8090
1991,"hirudo medicinalis",II,14238
1992,"hirudo medicinalis",II,50160
1993,"macaca fascicularis",II,11522
1994,"macaca fascicularis",II,25023
1995,"aloe ferox",II,330000
1996,"macaca fascicularis",II,14745
1997,"macaca fascicularis",II,15132
1998,"hirudo medicinalis",II,56000
1999,"macaca mulatta",II,28084
2000,"macaca fascicularis",II,42938
2001,"macaca fascicularis",II,103709
2002,"macaca fascicularis",II,145675
2003,"macaca fascicularis",II,73970
2004,"macaca fascicularis",II,70192
2005,"macaca fascicularis",II,81818
2006,"macaca fascicularis",II,67504
2007,"daboia russelii",III,337726
2008,"daboia russelii",III,333210
2009,"macaca fascicularis",II,440029.9
2010,"daboia russelii",III,552086
2011,"daboia russelii",III,538496
2012,"daboia russelii",III,415541
2013,"cairina moschata",III,2934849
2014,"cairina moschata",III,8577995
2015,"cairina moschata",III,10090928
2016,"cairina moschata",III,5021559
2017,"daboia russelii",III,1063842
2018,"daboia russelii",III,844536
2019,"chlorocebus aethiops",II,360001143
2020,"prunus africana",II,634050
2021,"alligator mississippiensis",II,2320
