term,tot_entries
"leather products (small)",111131
skins,37964
live,24129
specimens,19928
"leather products (large)",14774
shoes,14141
garments,12002
trophies,8312
"skin pieces",8114
"raw corals",7490
"leather items",7317
carvings,6638
derivatives,6159
skulls,5075
bodies,4384
"ivory carvings",2598
teeth,2491
meat,2490
extract,1207
claws,1201
medicine,1139
carapaces,1138
unspecified,1063
bones,1015
tusks,991
plates,755
jewellery,632
musk,582
oil,574
eggs,555
"bone carvings",532
feet,363
tails,357
horns,342
sides,305
"ivory pieces",260
rug,238
"skin scraps",237
"horn carvings",218
shells,196
skeletons,195
"gall bladders",191
gall,158
feathers,157
wax,127
genitalia,118
scales,118
"bone pieces",111
hair,92
powder,80
"horn products",71
"bone products",59
"jewellery - ivory ",54
venom,53
cloth,49
cosmetics,48
leather,46
soup,45
"hair products",34
"coral sand",27
heads,27
"horn pieces",24
"eggs (live)",21
"piano keys",15
"fur products (large)",14
baleen,10
"fur product (small)",9
fins,5
cultures,4
calipee,4
scraps,2
ears,2
fibres,2
"horn scraps",2
furniture,2
"ivory scraps",1
"sets of piano keys",1
"sawn wood",1
caviar,1
leaves,1
chips,1
roots,1
