year,taxon_id,taxon_name,appendix,tot_traded
2009,136436,"moschus moschiferus",II,358140
2010,134639,"daboia russelii",III,144951
2011,134639,"daboia russelii",III,191205
2012,134639,"daboia russelii",III,143590
2013,50207,"cairina moschata",III,2934844
2014,50207,"cairina moschata",III,8577995
2015,50207,"cairina moschata",III,10090928
2016,50207,"cairina moschata",III,5021559
2017,134639,"daboia russelii",III,435985
2018,134639,"daboia russelii",III,324670
2019,134639,"daboia russelii",III,549181
2020,134639,"daboia russelii",III,385250
